symbol,security,country,gics_sector,gics_sub_industry
ATLX,Atlas Lithium Corporation,United States,Technology,Computer Software: Programming Data Processing
ATMU,Atmus Filtration Technologies,,Consumer Discretionary,Auto Parts:O.E.M.
ATNF,180 Life Sciences Corp.,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ATNI,ATN International,United States,Telecommunications,Telecommunications Equipment
ATNM,Actinium Pharmaceuticals (Delaware),United States,Health Care,Biotechnology: Pharmaceutical Preparations
ATO,Atmos Energy Corporation,United States,Utilities,Oil/Gas Transmission
ATOM,Atomeraorporated,United States,Technology,Semiconductors
ATOS,Atossa Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ATR,AptarGroup,United States,Industrials,Plastic Products
ATRA,Atara Biotherapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATRC,AtriCure,United States,Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation,United States,Health Care,Medical/Dental Instruments
ATRO,Astronics Corporation,United States,Industrials,Military/Government/Technical
ATUS,Altice USA,United States,Telecommunications,Cable & Other Pay Television Services
ATVI,Activision Blizzard,United States,Technology,Computer Software: Prepackaged Software
ATXG,Addentax Group Corp.,China,Consumer Discretionary,Professional Services
ATXI,Avenue Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ATXS,Astria Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AU,AngloGold Ashanti Limited,South Africa,Basic Materials,Precious Metals
AUB,Atlantic Union Bankshares Corporation,United States,Finance,Major Banks
AUBN,Auburn National Bancorporation,United States,Finance,Major Banks
