symbol,security,country,gics_sector,gics_sub_industry,categories
CRBG,Corebridge Financial,United States,Finance,Life Insurance,"[""Financial services companies of the United States"", ""American International Group"", ""American companies established in 2022"", ""Insurance companies based in Texas"", ""Companies based in Houston""]"
CRBP,Corbus Pharmaceuticals Holdings,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CRBU,Caribou Biosciences,United States,Health Care, Medicinal Chemicals and Botanical Products ,
CRC,California Resources Corporation,United States,Energy,Oil & Gas Production,"[""2014 establishments in California"", ""American companies established in 2014"", ""Companies based in Los Angeles"", ""Companies established in 2014"", ""Companies listed on the New York Stock Exchange"", ""Companies that filed for Chapter 11 bankruptcy in 2020"", ""Corporate spin-offs"", ""Energy companies established in 2014"", ""Natural gas companies of the United States"", ""Non-renewable resource companies established in 2014"", ""Oil companies of the United States"", ""Petroleum in California""]"
CRCT,Cricut,United States,Industrials,Wholesale Distributors,"[""Handicrafts"", ""Food and drink decorations"", ""Paper art"", ""Companies listed on the Nasdaq"", ""2021 initial public offerings"", ""South Jordan, Utah"", ""Companies based in Salt Lake County, Utah""]"
CRDF,Cardiff Oncology,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
CREG,Smart Powerr Corp.,China,Consumer Discretionary,Business Services,
CREX,Creative Realities,United States,Technology,EDP Services,
CRF,Cornerstone Total Return Fund (The),United States,Finance,Finance/Investors Services,
CRGE,Charge Enterprises,United States,Consumer Discretionary,Telecommunications Equipment,
CRGY,Crescent Energy Company,United States,Energy,Oil & Gas Production,
CRI,Carter's,United States,Consumer Discretionary,Apparel,"[""Children's clothing brands"", ""Companies listed on the New York Stock Exchange"", ""American companies established in 1865"", ""Clothing companies established in 1865"", ""Clothing retailers of the United States"", ""Clothing brands of the United States"", ""Manufacturing companies based in Atlanta"", ""1865 establishments in Massachusetts""]"
CRIS,Curis,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
CRK,Comstock Resources,United States,Energy,Oil & Gas Production,
CRKN,Crown Electrokinetics Corp.,United States,Technology,Industrial Machinery/Components,
